,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
531,커피볶는성군,0.0,중랑구, 서울특별시 중랑구 면목천로 177 B동 1F,카페/디저트, 만원 미만,2020-05-04,괜찮다,1,0.0,1.0,0.0
532,섭이네고기집,0.0,중랑구, 서울특별시 중랑구 동일로109길 66,한식, 만원-2만원,2022-01-17,맛있다,1,1.0,0.0,0.0
533,묵동할머니떡볶이,0.0,중랑구, 서울특별시 중랑구 공릉로12가길 14,한식, 만원 미만,2021-02-26,맛있다,8,4.0,0.0,4.0
534,애슐리퀸즈,0.0,중랑구, 서울특별시 중랑구 망우로 353 이노시티 B1,기타, 만원-2만원,2019-05-31,괜찮다,7,2.0,5.0,0.0
535,연스시,0.0,중랑구, 서울특별시 중랑구 동일로 932 묵동자이아파트,일식, 만원-2만원,2022-05-05,맛있다,5,3.0,2.0,0.0
536,홈메이드,0.0,중랑구, 서울특별시 중랑구 면목로 421,일식, 만원 미만,2020-04-14,맛있다,4,1.0,2.0,1.0
537,오대전통가마솥순대국,0.0,중랑구, 서울특별시 중랑구 봉우재로 131,한식, 만원 미만,2022-01-20,맛있다,3,2.0,1.0,0.0
538,유정집,0.0,중랑구, 서울특별시 중랑구 신내로 193 엘리어트하우스,한식, 3만원-4만원,2020-02-25,괜찮다,3,2.0,1.0,0.0
539,제이식스,0.0,중랑구, 서울특별시 중랑구 면목로 487,카페/디저트, 만원 미만,2016-12-14,괜찮다,4,0.0,3.0,1.0
540,니뽕내뽕,0.0,중랑구, 서울특별시 중랑구 망우로 353,한식, 만원 미만,2018-05-09,맛있다,4,2.0,2.0,0.0
541,시즌스,0.0,중랑구, 서울특별시 중랑구 망우로 353,카페/디저트, 만원 미만,2017-03-16,맛있다,2,2.0,0.0,0.0
542,더바른 차담소,0.0,중랑구, 서울특별시 중랑구 동일로 467 디자인빌딩 1F,카페/디저트, 만원 미만,2020-03-14,괜찮다,2,1.0,1.0,0.0
543,카페브릭,0.0,중랑구, 서울특별시 중랑구 신내역로1길 127-11,카페/디저트, 만원 미만,2018-04-16,맛있다,2,2.0,0.0,0.0
544,고깃집 경훈이네,0.0,중랑구, 서울특별시 중랑구 봉우재로 68 광진빌딩 1F,한식, 만원-2만원,0,0,1,1.0,0.0,0.0
545,정가네홍두깨손칼국수,0.0,중랑구, 서울특별시 중랑구 망우로62길 61,한식,메뉴,0,0,1,1.0,0.0,0.0
546,순돈까스,0.0,중랑구, 서울특별시 중랑구 면목로 353,일식, 만원 미만,2021-03-01,맛있다,1,1.0,0.0,0.0
547,향선루,0.0,중랑구, 서울특별시 중랑구 망우로 203,중식, 만원 미만,2020-04-25,맛있다,1,1.0,0.0,0.0
548,발짝,0.0,중랑구, 서울특별시 중랑구 중랑역로 73,주점, 만원-2만원,2021-08-24,맛있다,1,1.0,0.0,0.0
549,비스트로탄탄,0.0,중랑구, 서울특별시 중랑구 면목로 303,일식, 만원 미만,2022-01-05,맛있다,1,1.0,0.0,0.0
550,리얼파스타,0.0,중랑구, 서울특별시 중랑구 용마산로 506 1F,양식, 만원-2만원,2022-07-14,맛있다,1,1.0,0.0,0.0
551,까망통돼지,0.0,중랑구, 서울특별시 중랑구 면목로 488 1F,한식, 만원-2만원,2016-10-10,맛있다,6,5.0,1.0,0.0
552,포메인,0.0,중랑구, 서울특별시 중랑구 망우로 353 이노시티,다국적음식, 만원-2만원,2018-05-27,맛있다,6,2.0,4.0,0.0
553,빈스코드,0.0,중랑구, 서울특별시 중랑구 망우로 353 상봉 프레미어스 엠코,카페/디저트, 만원 미만,2019-12-25,맛있다,5,4.0,0.0,1.0
554,장안칼국수,0.0,중랑구, 서울특별시 중랑구 상봉중앙로 56,한식,메뉴,2018-12-26,맛있다,4,4.0,0.0,0.0
555,소공주,0.0,중랑구, 서울특별시 중랑구 면목로88길 5,다국적음식, 만원 미만,2022-06-29,맛있다,4,4.0,0.0,0.0
556,아라수산,0.0,중랑구, 서울특별시 중랑구 신내로 211,기타, 만원-2만원,2020-10-08,별로,3,0.0,2.0,1.0
557,커피나무,0.0,중랑구, 서울특별시 중랑구 신내로 62,카페/디저트, 만원 미만,2017-01-29,괜찮다,3,1.0,2.0,0.0
558,노고단칼국수,0.0,중랑구, 서울특별시 중랑구 봉화산로56길 1,한식, 만원 미만,2020-06-28,별로,3,1.0,0.0,2.0
559,오덕진해물능이버섯한방오리,0.0,중랑구, 서울특별시 중랑구 용마산로115길 59,한식, 2만원-3만원,2019-03-15,맛있다,2,2.0,0.0,0.0
560,더파이어,0.0,중랑구, 서울특별시 중랑구 용마산로115길 109,한식,0,2018-04-08,맛있다,2,1.0,1.0,0.0
561,착한낙지,0.0,중랑구, 서울특별시 중랑구 용마산로125길 108-19,기타, 만원-2만원,2020-10-04,괜찮다,2,1.0,1.0,0.0
562,하루초밥,0.0,중랑구, 서울특별시 중랑구 공릉로 18,일식, 만원-2만원,0,0,2,2.0,0.0,0.0
563,만석바지락칼국수,0.0,중랑구, 서울특별시 중랑구 동일로109길 39 1F,한식, 만원 미만,2021-12-23,맛있다,2,2.0,0.0,0.0
564,조경문치킨,0.0,중랑구, 서울특별시 중랑구 중랑역로 173,한식, 만원-2만원,2022-01-31,맛있다,2,2.0,0.0,0.0
565,용마갈비,0.0,중랑구, 서울특별시 중랑구 용마산로 498,한식, 만원-2만원,2017-07-16,맛있다,1,1.0,0.0,0.0
566,모퉁이카페,0.0,중랑구, 서울특별시 중랑구 봉우재로 172,카페/디저트, 만원 미만,2019-05-06,별로,1,0.0,0.0,1.0
567,유성집,0.0,중랑구, 서울특별시 중랑구 동일로 823-1,한식,0,0,0,1,1.0,0.0,0.0
568,부자돼소,0.0,중랑구, 서울특별시 중랑구 봉우재로 126,기타, 만원-2만원,0,0,1,1.0,0.0,0.0
569,964커피로스터리,0.0,중랑구, 서울특별시 중랑구 면목로 489 상봉어반뷰 1F,카페/디저트, 만원 미만,2020-02-11,괜찮다,1,0.0,1.0,0.0
570,원할머니보쌈족발,0.0,중랑구, 서울특별시 중랑구 면목로 354,한식, 만원-2만원,2019-05-10,괜찮다,1,0.0,1.0,0.0
571,하루미,0.0,중랑구, 서울특별시 중랑구 망우로 203,한식,0,2021-08-17,괜찮다,2,0.0,2.0,0.0
572,꽈배기의달인,0.0,중랑구, 서울특별시 중랑구 면목로 341 1F,카페/디저트, 만원 미만,2020-08-26,괜찮다,1,0.0,1.0,0.0
573,골탕,0.0,중랑구, 서울특별시 중랑구 봉우재로33길 32,기타, 만원-2만원,2022-05-07,맛있다,1,1.0,0.0,0.0
574,유씨네가직접만든찹쌀순대,0.0,중랑구, 서울특별시 중랑구 사가정로49길 46,한식, 만원 미만,2020-06-29,괜찮다,1,0.0,1.0,0.0
575,불타는돼지,0.0,중랑구, 서울특별시 중랑구 사가정로 417,한식, 만원-2만원,2022-08-10,맛있다,1,1.0,0.0,0.0
576,중국관,0.0,중랑구, 서울특별시 중랑구 용마산로116길 30 1F,중식, 만원 미만,0,0,1,1.0,0.0,0.0
577,디저트39,0.0,중랑구, 서울특별시 중랑구 신내역로 111,카페/디저트, 만원 미만,2022-01-01,맛있다,1,1.0,0.0,0.0
578,주안상회,0.0,중랑구, 서울특별시 중랑구 봉화산로52길 11,한식, 만원-2만원,2022-02-13,맛있다,1,1.0,0.0,0.0
579,연희미식,4.8,서대문구, 서울특별시 서대문구 연희맛로 22 삼원빌딩,다국적음식, 만원-2만원,2022-07-29,맛있다,41,36.0,5.0,0.0
580,메노,4.7,서대문구, 서울특별시 서대문구 연희로26가길 15,양식, 만원-2만원,2022-07-16,맛있다,14,13.0,1.0,0.0
581,쿳사,4.6,서대문구, 서울특별시 서대문구 증가로 48 상가 1F 103호,양식, 만원-2만원,2022-07-04,맛있다,17,17.0,0.0,0.0
582,정리의밤,4.6,서대문구, 서울특별시 서대문구 연희맛로 31-10,주점, 2만원-3만원,2022-08-01,맛있다,7,7.0,0.0,0.0
