,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
1173,매일이 기념일,,도봉구, 서울특별시 도봉구 도봉로103길 11, 카페 / 디저트, 만원 미만,2018-03-18,괜찮다,2,1.0,1.0,0.0
1174,미트스타킴,,도봉구, 서울특별시 도봉구 도봉로103길 10 1F, 고기 요리, 만원-2만원,2020-05-31,괜찮다,2,1.0,1.0,0.0
1175,모모커피,,도봉구, 서울특별시 도봉구 노해로63다길 55 1F, 카페 / 디저트, 만원 미만,2020-08-10,괜찮다,2,0.0,2.0,0.0
1176,홍두깨손칼국수,,도봉구, 서울특별시 도봉구 덕릉로58길 3, 국수 / 면 요리, 만원 미만,2022-03-13,맛있다,2,2.0,0.0,0.0
1177,뉴욕베이커리,,도봉구, 서울특별시 도봉구 도봉로153길 39, 베이커리, 만원 미만,2017-02-20,맛있다,1,1.0,0.0,0.0
1178,이퓨레,,도봉구, 서울특별시 도봉구 도봉로169나길 40, 이탈리안, 만원 미만,2018-01-21,맛있다,1,1.0,0.0,0.0
1179,고기싸롱,,도봉구, 서울특별시 도봉구 도봉로 454, 뷔페, 만원-2만원,2020-08-30,괜찮다,1,0.0,1.0,0.0
1180,풍천장어직판장,,도봉구, 서울특별시 도봉구 도봉로 462-1,0,만원-2만원,2020-05-23,맛있다,1,1.0,0.0,0.0
1181,호식이두마리치킨,,도봉구, 서울특별시 도봉구 도봉로110길 95, 닭 / 오리 요리, 만원-2만원,2022-03-15,맛있다,1,1.0,0.0,0.0
1182,리틀방콕,,도봉구, 서울특별시 도봉구 도봉로114길 22, 태국 음식, 만원 미만,2020-07-20,별로,9,4.0,1.0,4.0
1183,마차이나,,도봉구, 서울특별시 도봉구 노해로63길 84 우림빌딩 2F, 정통 중식 / 일반 중식, 만원-2만원,2020-02-09,별로,4,1.0,0.0,3.0
1184,사거리짬뽕집,,도봉구, 서울특별시 도봉구 방학로 99-16, 정통 중식 / 일반 중식, 만원 미만,2021-09-26,괜찮다,4,1.0,1.0,2.0
1185,카페비,,도봉구, 서울특별시 도봉구 해등로 67, 카페 / 디저트, 만원 미만,2020-05-31,맛있다,3,3.0,0.0,0.0
1186,빵미제빵소,,도봉구, 서울특별시 도봉구 노해로63나길 8-6, 베이커리, 만원 미만,2022-01-31,맛있다,3,3.0,0.0,0.0
1187,인디언소울,,도봉구, 서울특별시 도봉구 도봉산길 12-15, 스테이크 / 바베큐, 2만원-3만원,2022-02-03,별로,2,0.0,1.0,1.0
