,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
98,아는포차,3.8,동작구,주소 서울특별시 동작구 동작대로7길 10,음식 종류 전통 주점 / 포차,가격대 만원 미만,2021-12-02,맛있다,24,19,3,2
99,고추동제면소,3.8,동작구,주소 서울특별시 동작구 상도로 399 삼호아파트상가,음식 종류 기타 한식,가격대 만원 미만,2022-02-11,맛있다,12,8,4,0
100,방배양곱창,3.8,동작구,주소 서울특별시 동작구 동작대로23길 27,음식 종류 고기 요리,가격대 만원-2만원,2022-06-05,괜찮다,9,5,4,0
101,홍콩참치만두,3.8,동작구,주소 서울특별시 동작구 동작대로29나길 35,음식 종류 딤섬 / 만두,가격대 만원 미만,2022-03-20,맛있다,8,3,5,0
102,모든것은당근케이크에서시작됐다,3.8,동작구,주소 서울특별시 동작구 만양로 65-1,음식 종류 카페 / 디저트,가격대 만원 미만,2022-05-06,괜찮다,7,4,3,0
103,시에나에스프레소,3.8,동작구,주소 서울특별시 동작구 사당로30길 55 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-05-06,괜찮다,6,3,3,0
104,라이스 & 포테이토,3.8,동작구,주소 서울특별시 동작구 흑석로 83,음식 종류 기타 한식,가격대 만원 미만,2022-07-02,맛있다,19,9,8,2
105,크라이치즈버거,3.8,동작구,주소 서울특별시 동작구 상도로61길 28 1F,음식 종류 브런치 / 버거 / 샌드위치,가격대 만원 미만,2022-02-12,괜찮다,6,4,2,0
106,시너리,3.8,동작구,주소 서울특별시 동작구 사당로25가길 1 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-06-11,맛있다,8,6,2,0
107,오후홍콩,3.7,동작구,주소 서울특별시 동작구 흑석로13가길 29,음식 종류 카페 / 디저트,가격대 만원 미만,2022-03-02,맛있다,38,20,14,4
108,낙성곱창,3.7,동작구,주소 서울특별시 동작구 동작대로19길 60,음식 종류 고기 요리,가격대 만원-2만원,2022-06-29,맛있다,33,20,8,5
109,윤공KoreanBistro,3.7,동작구,주소 서울특별시 동작구 동작대로7길 49,음식 종류 일반 주점,가격대 만원-2만원,2022-04-20,맛있다,21,18,3,0
110,차녕식당,3.7,동작구,주소 서울특별시 동작구 사당로16가길 87 1F,가격대 만원 미만,주차 주차공간없음,2021-04-22,맛있다,19,14,5,0
111,신이내린매운떡볶이,3.7,동작구,주소 서울특별시 동작구 만양로14가길 3 1F,음식 종류 기타 한식,가격대 만원 미만,2022-05-08,괜찮다,24,13,9,2
112,방배김밥,3.7,동작구,주소 서울특별시 동작구 동작대로27길 59-16,음식 종류 기타 한식,가격대 만원 미만,2021-12-07,괜찮다,37,25,10,2
113,텐카이치,3.7,동작구,주소 서울특별시 동작구 만양로14길 24,음식 종류 돈부리 / 일본 카레 / 벤토,가격대 만원 미만,2021-02-24,맛있다,22,13,7,2
114,곱창의전설,3.7,동작구,주소 서울특별시 동작구 만양로14길 5,음식 종류 고기 요리,가격대 만원-2만원,2020-10-03,괜찮다,27,20,5,2
115,정애맛담,3.7,동작구,주소 서울특별시 동작구 동작대로29나길 10 남성사계시장,음식 종류 카페 / 디저트,가격대 만원 미만,2022-02-03,괜찮다,16,10,4,2
116,흑석호치민,3.7,동작구,주소 서울특별시 동작구 서달로15길 20-5,음식 종류 베트남 음식,가격대 만원-2만원,2020-11-05,괜찮다,11,7,4,0
117,베브릿지,3.7,동작구,주소 서울특별시 동작구 흑석로9길 4,음식 종류 카페 / 디저트,가격대 만원 미만,2022-07-03,맛있다,12,7,3,2
